name,time,currentVisitors
Breiðholtslaug,2021-11-05T06:25:00Z,0
Grafarvogslaug,2021-11-05T06:25:00Z,0
Laugardalslaug,2021-11-05T06:25:00Z,0
Sundhöll Reykjavíkur,2021-11-05T06:25:00Z,0
Vesturbæjarlaug,2021-11-05T06:25:00Z,0
Árbæjarlaug,2021-11-05T06:25:00Z,0
Breiðholtslaug,2021-11-05T06:30:02Z,13
Sundhöll Reykjavíkur,2021-11-05T06:30:02Z,6
Vesturbæjarlaug,2021-11-05T06:30:02Z,5
Árbæjarlaug,2021-11-05T06:35:02Z,6
Breiðholtslaug,2021-11-05T06:35:02Z,21
Grafarvogslaug,2021-11-05T06:35:02Z,5
Laugardalslaug,2021-11-05T06:35:02Z,27
Sundhöll Reykjavíkur,2021-11-05T06:35:02Z,10
Vesturbæjarlaug,2021-11-05T06:35:02Z,13
Árbæjarlaug,2021-11-05T06:40:02Z,7
Breiðholtslaug,2021-11-05T06:40:02Z,23
Grafarvogslaug,2021-11-05T06:40:02Z,7
Laugardalslaug,2021-11-05T06:40:02Z,30
Sundhöll Reykjavíkur,2021-11-05T06:40:02Z,11
Vesturbæjarlaug,2021-11-05T06:40:02Z,16
Árbæjarlaug,2021-11-05T06:45:02Z,13
Breiðholtslaug,2021-11-05T06:45:02Z,26
Grafarvogslaug,2021-11-05T06:45:02Z,8
Laugardalslaug,2021-11-05T06:45:02Z,31
Sundhöll Reykjavíkur,2021-11-05T06:45:02Z,13
Vesturbæjarlaug,2021-11-05T06:45:02Z,19
Árbæjarlaug,2021-11-05T06:50:02Z,14
Breiðholtslaug,2021-11-05T06:50:02Z,27
Grafarvogslaug,2021-11-05T06:50:02Z,8
Laugardalslaug,2021-11-05T06:50:02Z,32
Sundhöll Reykjavíkur,2021-11-05T06:50:02Z,16
Vesturbæjarlaug,2021-11-05T06:50:02Z,24
Árbæjarlaug,2021-11-05T06:55:02Z,16
Breiðholtslaug,2021-11-05T06:55:02Z,30
Grafarvogslaug,2021-11-05T06:55:02Z,9
Laugardalslaug,2021-11-05T06:55:02Z,36
Sundhöll Reykjavíkur,2021-11-05T06:55:02Z,21
Vesturbæjarlaug,2021-11-05T06:55:02Z,26
Árbæjarlaug,2021-11-05T07:00:02Z,18
Breiðholtslaug,2021-11-05T07:00:02Z,33
Grafarvogslaug,2021-11-05T07:00:02Z,13
Laugardalslaug,2021-11-05T07:00:02Z,44
Sundhöll Reykjavíkur,2021-11-05T07:00:02Z,23
Vesturbæjarlaug,2021-11-05T07:00:02Z,33
Árbæjarlaug,2021-11-05T07:05:02Z,21
Breiðholtslaug,2021-11-05T07:05:02Z,33
Grafarvogslaug,2021-11-05T07:05:02Z,16
Laugardalslaug,2021-11-05T07:05:02Z,43
Sundhöll Reykjavíkur,2021-11-05T07:05:02Z,26
Vesturbæjarlaug,2021-11-05T07:05:02Z,40
Árbæjarlaug,2021-11-05T07:10:02Z,23
Breiðholtslaug,2021-11-05T07:10:02Z,33
Grafarvogslaug,2021-11-05T07:10:02Z,17
Laugardalslaug,2021-11-05T07:10:02Z,46
Sundhöll Reykjavíkur,2021-11-05T07:10:02Z,31
Vesturbæjarlaug,2021-11-05T07:10:02Z,43
Árbæjarlaug,2021-11-05T07:15:02Z,25
Breiðholtslaug,2021-11-05T07:15:02Z,38
Grafarvogslaug,2021-11-05T07:15:02Z,18
Laugardalslaug,2021-11-05T07:15:02Z,47
Sundhöll Reykjavíkur,2021-11-05T07:15:02Z,34
Vesturbæjarlaug,2021-11-05T07:15:02Z,45
Árbæjarlaug,2021-11-05T07:20:02Z,30
Breiðholtslaug,2021-11-05T07:20:02Z,38
Grafarvogslaug,2021-11-05T07:20:02Z,21
Laugardalslaug,2021-11-05T07:20:02Z,48
Sundhöll Reykjavíkur,2021-11-05T07:20:02Z,34
Vesturbæjarlaug,2021-11-05T07:20:02Z,49
Árbæjarlaug,2021-11-05T07:25:02Z,33
Breiðholtslaug,2021-11-05T07:25:02Z,40
Grafarvogslaug,2021-11-05T07:25:02Z,22
Laugardalslaug,2021-11-05T07:25:02Z,54
Sundhöll Reykjavíkur,2021-11-05T07:25:02Z,38
Vesturbæjarlaug,2021-11-05T07:25:02Z,52
Árbæjarlaug,2021-11-05T07:30:02Z,35
Breiðholtslaug,2021-11-05T07:30:02Z,40
Grafarvogslaug,2021-11-05T07:30:02Z,23
Laugardalslaug,2021-11-05T07:30:02Z,50
Sundhöll Reykjavíkur,2021-11-05T07:30:02Z,42
Vesturbæjarlaug,2021-11-05T07:30:02Z,54
Árbæjarlaug,2021-11-05T07:35:02Z,37
Breiðholtslaug,2021-11-05T07:35:02Z,41
Grafarvogslaug,2021-11-05T07:35:02Z,23
Laugardalslaug,2021-11-05T07:35:02Z,48
Sundhöll Reykjavíkur,2021-11-05T07:35:02Z,45
Vesturbæjarlaug,2021-11-05T07:35:02Z,58
Árbæjarlaug,2021-11-05T07:40:02Z,38
Breiðholtslaug,2021-11-05T07:40:02Z,41
Grafarvogslaug,2021-11-05T07:40:02Z,25
Laugardalslaug,2021-11-05T07:40:02Z,46
Sundhöll Reykjavíkur,2021-11-05T07:40:02Z,48
Vesturbæjarlaug,2021-11-05T07:40:02Z,59
Árbæjarlaug,2021-11-05T07:45:02Z,39
Breiðholtslaug,2021-11-05T07:45:02Z,42
Grafarvogslaug,2021-11-05T07:45:02Z,26
Laugardalslaug,2021-11-05T07:45:02Z,43
Sundhöll Reykjavíkur,2021-11-05T07:45:02Z,49
Vesturbæjarlaug,2021-11-05T07:45:02Z,59
Árbæjarlaug,2021-11-05T07:50:02Z,41
Breiðholtslaug,2021-11-05T07:50:02Z,45
Grafarvogslaug,2021-11-05T07:50:02Z,28
Laugardalslaug,2021-11-05T07:50:02Z,40
Sundhöll Reykjavíkur,2021-11-05T07:50:02Z,51
Vesturbæjarlaug,2021-11-05T07:50:02Z,60
Árbæjarlaug,2021-11-05T07:55:02Z,41
Breiðholtslaug,2021-11-05T07:55:02Z,46
Grafarvogslaug,2021-11-05T07:55:02Z,30
Laugardalslaug,2021-11-05T07:55:02Z,40
Sundhöll Reykjavíkur,2021-11-05T07:55:02Z,53
Vesturbæjarlaug,2021-11-05T07:55:02Z,61
Árbæjarlaug,2021-11-05T08:00:02Z,41
Breiðholtslaug,2021-11-05T08:00:02Z,48
Grafarvogslaug,2021-11-05T08:00:02Z,31
Laugardalslaug,2021-11-05T08:00:02Z,39
Sundhöll Reykjavíkur,2021-11-05T08:00:02Z,53
Vesturbæjarlaug,2021-11-05T08:00:02Z,63
Árbæjarlaug,2021-11-05T08:05:02Z,45
Breiðholtslaug,2021-11-05T08:05:02Z,49
Grafarvogslaug,2021-11-05T08:05:02Z,34
Laugardalslaug,2021-11-05T08:05:02Z,40
Sundhöll Reykjavíkur,2021-11-05T08:05:02Z,56
Vesturbæjarlaug,2021-11-05T08:05:02Z,65
Árbæjarlaug,2021-11-05T08:10:02Z,49
Breiðholtslaug,2021-11-05T08:10:02Z,51
Grafarvogslaug,2021-11-05T08:10:02Z,34
Laugardalslaug,2021-11-05T08:10:02Z,40
Sundhöll Reykjavíkur,2021-11-05T08:10:02Z,56
Vesturbæjarlaug,2021-11-05T08:10:02Z,65
Árbæjarlaug,2021-11-05T08:15:02Z,49
Breiðholtslaug,2021-11-05T08:15:02Z,52
Grafarvogslaug,2021-11-05T08:15:02Z,36
Laugardalslaug,2021-11-05T08:15:02Z,41
Sundhöll Reykjavíkur,2021-11-05T08:15:02Z,58
Vesturbæjarlaug,2021-11-05T08:15:02Z,66
Árbæjarlaug,2021-11-05T08:20:02Z,50
Breiðholtslaug,2021-11-05T08:20:02Z,52
Grafarvogslaug,2021-11-05T08:20:02Z,38
Laugardalslaug,2021-11-05T08:20:02Z,47
Sundhöll Reykjavíkur,2021-11-05T08:20:02Z,59
Vesturbæjarlaug,2021-11-05T08:20:02Z,66
Árbæjarlaug,2021-11-05T08:25:02Z,51
Breiðholtslaug,2021-11-05T08:25:02Z,53
Grafarvogslaug,2021-11-05T08:25:02Z,40
Laugardalslaug,2021-11-05T08:25:02Z,52
Sundhöll Reykjavíkur,2021-11-05T08:25:02Z,61
Vesturbæjarlaug,2021-11-05T08:25:02Z,66
Árbæjarlaug,2021-11-05T08:30:02Z,51
Breiðholtslaug,2021-11-05T08:30:02Z,55
Grafarvogslaug,2021-11-05T08:30:02Z,41
Laugardalslaug,2021-11-05T08:30:02Z,54
Sundhöll Reykjavíkur,2021-11-05T08:30:02Z,64
Vesturbæjarlaug,2021-11-05T08:30:02Z,69
Árbæjarlaug,2021-11-05T08:35:02Z,52
Breiðholtslaug,2021-11-05T08:35:02Z,58
Grafarvogslaug,2021-11-05T08:35:02Z,41
Laugardalslaug,2021-11-05T08:35:02Z,56
Sundhöll Reykjavíkur,2021-11-05T08:35:02Z,66
Vesturbæjarlaug,2021-11-05T08:35:02Z,71
Árbæjarlaug,2021-11-05T08:40:02Z,52
Breiðholtslaug,2021-11-05T08:40:02Z,58
Grafarvogslaug,2021-11-05T08:40:02Z,41
Laugardalslaug,2021-11-05T08:40:02Z,53
Sundhöll Reykjavíkur,2021-11-05T08:40:02Z,67
Vesturbæjarlaug,2021-11-05T08:40:02Z,73
Árbæjarlaug,2021-11-05T08:45:02Z,52
Breiðholtslaug,2021-11-05T08:45:02Z,62
Grafarvogslaug,2021-11-05T08:45:02Z,42
Laugardalslaug,2021-11-05T08:45:02Z,55
Sundhöll Reykjavíkur,2021-11-05T08:45:02Z,69
Vesturbæjarlaug,2021-11-05T08:45:02Z,74
Árbæjarlaug,2021-11-05T08:50:02Z,53
Breiðholtslaug,2021-11-05T08:50:02Z,64
Grafarvogslaug,2021-11-05T08:50:02Z,47
Laugardalslaug,2021-11-05T08:50:02Z,55
Sundhöll Reykjavíkur,2021-11-05T08:50:02Z,71
Vesturbæjarlaug,2021-11-05T08:50:02Z,77
Árbæjarlaug,2021-11-05T08:55:02Z,53
Breiðholtslaug,2021-11-05T08:55:02Z,66
Grafarvogslaug,2021-11-05T08:55:02Z,47
Laugardalslaug,2021-11-05T08:55:02Z,59
Sundhöll Reykjavíkur,2021-11-05T08:55:02Z,71
Vesturbæjarlaug,2021-11-05T08:55:02Z,77
Árbæjarlaug,2021-11-05T09:00:02Z,54
Breiðholtslaug,2021-11-05T09:00:02Z,67
Grafarvogslaug,2021-11-05T09:00:02Z,48
Laugardalslaug,2021-11-05T09:00:02Z,66
Sundhöll Reykjavíkur,2021-11-05T09:00:02Z,72
Vesturbæjarlaug,2021-11-05T09:00:02Z,78
Árbæjarlaug,2021-11-05T09:05:02Z,55
Breiðholtslaug,2021-11-05T09:05:02Z,69
Grafarvogslaug,2021-11-05T09:05:02Z,52
Laugardalslaug,2021-11-05T09:05:02Z,67
Sundhöll Reykjavíkur,2021-11-05T09:05:02Z,74
Vesturbæjarlaug,2021-11-05T09:05:02Z,82
Árbæjarlaug,2021-11-05T09:10:02Z,58
Breiðholtslaug,2021-11-05T09:10:02Z,70
Grafarvogslaug,2021-11-05T09:10:02Z,53
Laugardalslaug,2021-11-05T09:10:02Z,68
Sundhöll Reykjavíkur,2021-11-05T09:10:02Z,74
Vesturbæjarlaug,2021-11-05T09:10:02Z,86
Árbæjarlaug,2021-11-05T09:15:02Z,61
Breiðholtslaug,2021-11-05T09:15:02Z,72
Grafarvogslaug,2021-11-05T09:15:02Z,53
Laugardalslaug,2021-11-05T09:15:02Z,67
Sundhöll Reykjavíkur,2021-11-05T09:15:02Z,75
Vesturbæjarlaug,2021-11-05T09:15:02Z,87
Árbæjarlaug,2021-11-05T09:20:03Z,66
Breiðholtslaug,2021-11-05T09:20:03Z,72
Grafarvogslaug,2021-11-05T09:20:03Z,55
Laugardalslaug,2021-11-05T09:20:03Z,68
Sundhöll Reykjavíkur,2021-11-05T09:20:03Z,77
Vesturbæjarlaug,2021-11-05T09:20:03Z,91
Árbæjarlaug,2021-11-05T09:25:03Z,68
Breiðholtslaug,2021-11-05T09:25:03Z,72
Grafarvogslaug,2021-11-05T09:25:03Z,58
Laugardalslaug,2021-11-05T09:25:03Z,63
Sundhöll Reykjavíkur,2021-11-05T09:25:03Z,77
Vesturbæjarlaug,2021-11-05T09:25:03Z,93
Árbæjarlaug,2021-11-05T09:30:02Z,70
Breiðholtslaug,2021-11-05T09:30:02Z,72
Grafarvogslaug,2021-11-05T09:30:02Z,61
Laugardalslaug,2021-11-05T09:30:02Z,63
Sundhöll Reykjavíkur,2021-11-05T09:30:02Z,80
Vesturbæjarlaug,2021-11-05T09:30:02Z,96
Árbæjarlaug,2021-11-05T09:35:04Z,71
Breiðholtslaug,2021-11-05T09:35:04Z,72
Grafarvogslaug,2021-11-05T09:35:04Z,61
Laugardalslaug,2021-11-05T09:35:04Z,62
Sundhöll Reykjavíkur,2021-11-05T09:35:04Z,84
Vesturbæjarlaug,2021-11-05T09:35:04Z,100
Árbæjarlaug,2021-11-05T09:40:02Z,71
Breiðholtslaug,2021-11-05T09:40:02Z,73
Grafarvogslaug,2021-11-05T09:40:02Z,62
Laugardalslaug,2021-11-05T09:40:02Z,62
Sundhöll Reykjavíkur,2021-11-05T09:40:02Z,84
Vesturbæjarlaug,2021-11-05T09:40:02Z,103
Árbæjarlaug,2021-11-05T09:45:04Z,73
Breiðholtslaug,2021-11-05T09:45:04Z,76
Grafarvogslaug,2021-11-05T09:45:04Z,62
Laugardalslaug,2021-11-05T09:45:04Z,62
Sundhöll Reykjavíkur,2021-11-05T09:45:04Z,86
Vesturbæjarlaug,2021-11-05T09:45:04Z,105
Árbæjarlaug,2021-11-05T09:50:02Z,75
Breiðholtslaug,2021-11-05T09:50:02Z,76
Grafarvogslaug,2021-11-05T09:50:02Z,62
Laugardalslaug,2021-11-05T09:50:02Z,62
Sundhöll Reykjavíkur,2021-11-05T09:50:02Z,88
Vesturbæjarlaug,2021-11-05T09:50:02Z,106
Árbæjarlaug,2021-11-05T09:55:02Z,76
Breiðholtslaug,2021-11-05T09:55:02Z,78
Grafarvogslaug,2021-11-05T09:55:02Z,62
Laugardalslaug,2021-11-05T09:55:02Z,62
Sundhöll Reykjavíkur,2021-11-05T09:55:02Z,88
Vesturbæjarlaug,2021-11-05T09:55:02Z,107
Árbæjarlaug,2021-11-05T10:00:03Z,76
Breiðholtslaug,2021-11-05T10:00:03Z,80
Grafarvogslaug,2021-11-05T10:00:03Z,64
Laugardalslaug,2021-11-05T10:00:03Z,59
Sundhöll Reykjavíkur,2021-11-05T10:00:03Z,89
Vesturbæjarlaug,2021-11-05T10:00:03Z,109
Árbæjarlaug,2021-11-05T10:05:03Z,77
Breiðholtslaug,2021-11-05T10:05:03Z,81
Grafarvogslaug,2021-11-05T10:05:03Z,65
Laugardalslaug,2021-11-05T10:05:03Z,60
Sundhöll Reykjavíkur,2021-11-05T10:05:03Z,92
Vesturbæjarlaug,2021-11-05T10:05:03Z,111
Árbæjarlaug,2021-11-05T10:10:02Z,78
Breiðholtslaug,2021-11-05T10:10:02Z,84
Grafarvogslaug,2021-11-05T10:10:02Z,68
Laugardalslaug,2021-11-05T10:10:02Z,64
Sundhöll Reykjavíkur,2021-11-05T10:10:02Z,94
Vesturbæjarlaug,2021-11-05T10:10:02Z,111
Árbæjarlaug,2021-11-05T10:15:03Z,78
Breiðholtslaug,2021-11-05T10:15:03Z,85
Grafarvogslaug,2021-11-05T10:15:03Z,70
Laugardalslaug,2021-11-05T10:15:03Z,66
Sundhöll Reykjavíkur,2021-11-05T10:15:03Z,95
Vesturbæjarlaug,2021-11-05T10:15:03Z,112
Árbæjarlaug,2021-11-05T10:20:03Z,80
Breiðholtslaug,2021-11-05T10:20:03Z,87
Grafarvogslaug,2021-11-05T10:20:03Z,70
Laugardalslaug,2021-11-05T10:20:03Z,69
Sundhöll Reykjavíkur,2021-11-05T10:20:03Z,99
Vesturbæjarlaug,2021-11-05T10:20:03Z,113
Árbæjarlaug,2021-11-05T10:25:04Z,80
Breiðholtslaug,2021-11-05T10:25:04Z,90
Grafarvogslaug,2021-11-05T10:25:04Z,73
Laugardalslaug,2021-11-05T10:25:04Z,68
Sundhöll Reykjavíkur,2021-11-05T10:25:04Z,100
Vesturbæjarlaug,2021-11-05T10:25:04Z,113
Árbæjarlaug,2021-11-05T10:30:03Z,81
Breiðholtslaug,2021-11-05T10:30:03Z,91
Grafarvogslaug,2021-11-05T10:30:03Z,73
Laugardalslaug,2021-11-05T10:30:03Z,75
Sundhöll Reykjavíkur,2021-11-05T10:30:03Z,103
Vesturbæjarlaug,2021-11-05T10:30:03Z,117
Árbæjarlaug,2021-11-05T10:35:03Z,82
Breiðholtslaug,2021-11-05T10:35:03Z,95
Grafarvogslaug,2021-11-05T10:35:03Z,74
Laugardalslaug,2021-11-05T10:35:03Z,69
Sundhöll Reykjavíkur,2021-11-05T10:35:03Z,106
Vesturbæjarlaug,2021-11-05T10:35:03Z,117
Árbæjarlaug,2021-11-05T10:40:02Z,82
Breiðholtslaug,2021-11-05T10:40:02Z,95
Grafarvogslaug,2021-11-05T10:40:02Z,74
Laugardalslaug,2021-11-05T10:40:02Z,69
Sundhöll Reykjavíkur,2021-11-05T10:40:02Z,110
Vesturbæjarlaug,2021-11-05T10:40:02Z,120
Árbæjarlaug,2021-11-05T10:45:04Z,85
Breiðholtslaug,2021-11-05T10:45:04Z,98
Grafarvogslaug,2021-11-05T10:45:04Z,76
Laugardalslaug,2021-11-05T10:45:04Z,75
Sundhöll Reykjavíkur,2021-11-05T10:45:04Z,114
Vesturbæjarlaug,2021-11-05T10:45:04Z,123
Árbæjarlaug,2021-11-05T10:50:02Z,87
Breiðholtslaug,2021-11-05T10:50:02Z,98
Grafarvogslaug,2021-11-05T10:50:02Z,76
Laugardalslaug,2021-11-05T10:50:02Z,75
Sundhöll Reykjavíkur,2021-11-05T10:50:02Z,114
Vesturbæjarlaug,2021-11-05T10:50:02Z,124
Árbæjarlaug,2021-11-05T10:55:03Z,89
Breiðholtslaug,2021-11-05T10:55:03Z,98
Grafarvogslaug,2021-11-05T10:55:03Z,78
Laugardalslaug,2021-11-05T10:55:03Z,77
Sundhöll Reykjavíkur,2021-11-05T10:55:03Z,115
Vesturbæjarlaug,2021-11-05T10:55:03Z,126
Árbæjarlaug,2021-11-05T11:00:03Z,90
Breiðholtslaug,2021-11-05T11:00:03Z,98
Grafarvogslaug,2021-11-05T11:00:03Z,78
Laugardalslaug,2021-11-05T11:00:03Z,80
Sundhöll Reykjavíkur,2021-11-05T11:00:03Z,115
Vesturbæjarlaug,2021-11-05T11:00:03Z,129
Árbæjarlaug,2021-11-05T11:05:03Z,90
Breiðholtslaug,2021-11-05T11:05:03Z,98
Grafarvogslaug,2021-11-05T11:05:03Z,78
Laugardalslaug,2021-11-05T11:05:03Z,81
Sundhöll Reykjavíkur,2021-11-05T11:05:03Z,117
Vesturbæjarlaug,2021-11-05T11:05:03Z,132
Árbæjarlaug,2021-11-05T11:10:02Z,90
Breiðholtslaug,2021-11-05T11:10:02Z,102
Grafarvogslaug,2021-11-05T11:10:02Z,78
Laugardalslaug,2021-11-05T11:10:02Z,81
Sundhöll Reykjavíkur,2021-11-05T11:10:02Z,118
Vesturbæjarlaug,2021-11-05T11:10:02Z,134
Árbæjarlaug,2021-11-05T11:15:02Z,91
Breiðholtslaug,2021-11-05T11:15:02Z,103
Grafarvogslaug,2021-11-05T11:15:02Z,79
Laugardalslaug,2021-11-05T11:15:02Z,83
Sundhöll Reykjavíkur,2021-11-05T11:15:02Z,122
Vesturbæjarlaug,2021-11-05T11:15:02Z,135
Árbæjarlaug,2021-11-05T11:20:03Z,91
Breiðholtslaug,2021-11-05T11:20:03Z,104
Grafarvogslaug,2021-11-05T11:20:03Z,79
Laugardalslaug,2021-11-05T11:20:03Z,82
Sundhöll Reykjavíkur,2021-11-05T11:20:03Z,123
Vesturbæjarlaug,2021-11-05T11:20:03Z,135
Árbæjarlaug,2021-11-05T11:25:02Z,92
Breiðholtslaug,2021-11-05T11:25:02Z,104
Grafarvogslaug,2021-11-05T11:25:02Z,80
Laugardalslaug,2021-11-05T11:25:02Z,81
Sundhöll Reykjavíkur,2021-11-05T11:25:02Z,125
Vesturbæjarlaug,2021-11-05T11:25:02Z,138
Árbæjarlaug,2021-11-05T11:30:02Z,92
Breiðholtslaug,2021-11-05T11:30:02Z,105
Grafarvogslaug,2021-11-05T11:30:02Z,82
Laugardalslaug,2021-11-05T11:30:02Z,81
Sundhöll Reykjavíkur,2021-11-05T11:30:02Z,126
Vesturbæjarlaug,2021-11-05T11:30:02Z,141
Árbæjarlaug,2021-11-05T11:35:02Z,93
Breiðholtslaug,2021-11-05T11:35:02Z,105
Grafarvogslaug,2021-11-05T11:35:02Z,83
Laugardalslaug,2021-11-05T11:35:02Z,83
Sundhöll Reykjavíkur,2021-11-05T11:35:02Z,126
Vesturbæjarlaug,2021-11-05T11:35:02Z,143
Árbæjarlaug,2021-11-05T11:40:02Z,93
Breiðholtslaug,2021-11-05T11:40:02Z,105
Grafarvogslaug,2021-11-05T11:40:02Z,84
Laugardalslaug,2021-11-05T11:40:02Z,78
Sundhöll Reykjavíkur,2021-11-05T11:40:02Z,130
Vesturbæjarlaug,2021-11-05T11:40:02Z,148
Árbæjarlaug,2021-11-05T11:45:02Z,94
Breiðholtslaug,2021-11-05T11:45:02Z,105
Grafarvogslaug,2021-11-05T11:45:02Z,85
Laugardalslaug,2021-11-05T11:45:02Z,76
Sundhöll Reykjavíkur,2021-11-05T11:45:02Z,130
Vesturbæjarlaug,2021-11-05T11:45:02Z,153
Árbæjarlaug,2021-11-05T11:50:02Z,94
Breiðholtslaug,2021-11-05T11:50:02Z,106
Grafarvogslaug,2021-11-05T11:50:02Z,85
Laugardalslaug,2021-11-05T11:50:02Z,74
Sundhöll Reykjavíkur,2021-11-05T11:50:02Z,133
Vesturbæjarlaug,2021-11-05T11:50:02Z,155
Árbæjarlaug,2021-11-05T11:55:03Z,96
Breiðholtslaug,2021-11-05T11:55:03Z,107
Grafarvogslaug,2021-11-05T11:55:03Z,85
Laugardalslaug,2021-11-05T11:55:03Z,75
Sundhöll Reykjavíkur,2021-11-05T11:55:03Z,135
Vesturbæjarlaug,2021-11-05T11:55:03Z,157
Árbæjarlaug,2021-11-05T12:00:02Z,98
Breiðholtslaug,2021-11-05T12:00:02Z,110
Grafarvogslaug,2021-11-05T12:00:02Z,85
